sentiment,txt
1,I cant sleep. Not good with maths tomorrow. Thats an exam I have to pass  x
1,bored.. &amp; i hate this taste in my mouth.. BLEH! i need to hurry up &amp; get better! everyone's going out!! 
1,I have to work alllll day today  So much for my Saturday.
1,"@wndllg unfortunately, no.  we're going sometime in July so we're going to miss it. It does have an AMAZING line-up though"
1,I hate johnny 
1,wishes she could find all of these cool things on the web 
1,@mizrik good 2 hear.  Still waiting on our ihop luncheon. 
1,@DonnieWahlberg This was supposed to be my night to meet you and get Full Service 
1,Gotta get to work soon...tired 
1,   www.apple.com/iphone now has it for the 18th   
1,"Good morning all! Plans for today have been scuppered by shitty rain and cold, cold wind. Where has my lovely weather gone?! "
1,writing thank you letters....by hand is sore 
1,"poor little bossy george, who is now snoring next to my bed can't walk down stairs anymore "
1,has a really sore throat and a headache 
1,back from Hawaii....boohoo 
1,i hate how fragile nokias are 
1,cleaning the house 
1,"By the way I missed my 300th update  I shall have to make up for it with my 400th, or maybe 350th?"
1,Off to work. 
1,Finally managed to jumpstart @danmcgrath's car. Took way longer than anticipated though. 
1,just got home from my mom's mother's day party..ugh! sooo tired..  pix will soon be posted on my myspace.. myspace.com/gilbertgarcia ortiz
1,is nearly coming back to the UK 
1,I hate hayfever 
1,Both DH and I are not feeling well. I've got headache from contacts and he's generally yucky.  Good thing no crazy Father's Day plans.
1,"oh nvm, they're showing new moon for real after the break. "
1,@aini aaaaw I miss that too bb  wish I could've joined you!
1,@MeSoDC sorry- no apps for your phone. that things out dated. your only choice is mobile twitter 
1,SHIT. POORMAN JUST GOT TAKEN DOWN. 
1,@natasha4985 nall baby popular qoutables we know 
1,@depyup thanks 4 the tech support aunque no haya remedio para mi caso  jaja
1,Have a nice day everyone - Enjoy the sun... I can't 
1,My publix shopping list.  Bad food  http://yfrog.com/18271qj
1,shares That didn't work! humm?  http://leathermadenice.etsy.com (let's try that again. )    http://plurk.com/p/y652d
1,"No sleep all week, too much coffee and junk food. "
1,Boo... Sleeping in means waking up at 7 and laying in bed until 8 
1,"My computer, cell n car are all in skitz mode... technology is backfiring on me today "
1,i'm annoyed cuz my mum woke me up when i have an exam today. i wanted a lie in! now i'm tired and i won't be able to concentrate 
1,really doesnt want to work grad night!  so no nice
1,Damn. I wanted to go to my jr. prom.   ended up getting tickets to any upcoming concert I wanna go to! Haha. X
1,@danpatterson I was all excited because I thought that email meant I was a special snowflake 
1,@mmh1 damn i'm out of milk  can i bring ginger ale?
1,ahhhhh! somebody smart help me get a twitter ap! 
1,@mikenguyen84 i lek pofrgtting about this @Japayuki part lol. i miss Hunters on a Monday 
1,"off to staff conference in a bit, sun is shining and we'll be stuck in a lecture theatre for most of the day "
1,"Hey my twitterfam. Lunch was delicious. I'm getting progressively worse though, so I sent my co-worker to get me some Day Quil "
1,Going to uncle doc... 
1,I have weapons grade hayfever 
1,really wants sims 3 but it is really expensive! 
1,@chienalee may lakad ako ng friday  thursday?
1,"@Nurul54 thanks fam, I think I got it. Was an accident "
1,@DonnieWahlberg night night xoxo got a long drive tomorrow 8 hrs back to Florida  missing you guys!! Xoxo
1,Why do i have a strange feeling that my flight isn't going to be so smooth?  stupid bad weather!
1,@LynziLoo omg!!! do you think you got a concussion?! that's no good!  feel better &lt;3
1,well... iahve to work @ 5  lol &lt;3melissa&lt;3
1,Monday  sigh...
1,"wat a day,wish i wuz cuddled up watchn movies wit ma boo "
1,Had a blast tonight but wish my guy could have been there 
1,"is about to faint. Just at the climax, my bandwidth exceeded!!! "
1,"actualy, he's kind of special   "
1,"@paulina1 he's about 114lbs.  Our friend, a radiologist, believes his cancer is back. So does fam. doc. Seeing specialist soon."
1,So very tired 
1,is sad.she'll be left again   http://plurk.com/p/11mual
1,after all the trouble.. the ckts nt workin 
1,Styes suck tits. 
1,"my tattoo feels pure sore from being out in the sun even though i put sunblock on it  no good. eventually getting sleep, YEAH! bye."
1,@Sydneylynnn ah will you really! i've been looking for someone to go with me. none of my friends like her 
1,"@DENISE_RICHARDS just saw episode 2, your a tiger lol, great show, looking at stores for s1 but hard to find "
1,@jasminlovesyou sure! we can be friends... what's stupid? Friendster? B'cuz of HCG! My app won't work... 
1,dreary day. i wish i could run 
1,ipod down...  it is an excellent idea to leave it on the steps and step on it when you stumble down them in the morning hours....fml
1,@todayshow love the jonas brothers!! Wish I lived closer to nyc 
1,has work at 2. It's going to be hot but hopefully because the weather is good there will be less people in. Not likely though 
1,@HaileyEdwards  aw man. Why'd you have to send me sad link?
1,Just got back from meal out with family and the usual weekly family catch up! Got to be up at 6am tho  not happy
1,whheeee being smad @ life in general (aka: the fact that im not at an awesome party even tho i was invited 
1,@mellemusic thanks - i went but should have made an appt.    next time i will call first.
1,Realy can't sleep! Got school tomorrow cba to go german cw 1st lesson  such a bad half term fel into a stingingnettle bush tue well hurt 
1,"@jeff_lamarche @rentzsch via @c4 had Sep25-27, but 360idev conf is the same weekend, maybe an optimistic hope they would move it earlier. "
1,Disappointed..thought 3x the charm to finally meet @NKOTB! Someone else one the Backstage passes on the radio.... 
1,at hoome being sicck . .  . 
1,is too depressed to think of a good story to write 
1,is stuck in traffic on the 680 
1,@ahkyrian   tried to check your stuff out but your web page makes my browser crash   got any other places I can listen?
1,@stfumichelle :O:O:O:O:O:O I'M FUCKING JEALOUS! JB SAID THE SHIPMENT HADN'T COME YET SO I HAVNT GOT IT YET  -CRIES- I WANT IT SO BAD
1,My thumb hurst again 
1,i guess not 
1,@alex_queneau I have the same problem in NL  Got really addicted to it!!
1,"kept dreamin last nite, then woke up w. headache "
1,@ chelseataan ...im scared to walk  I wanna cry.
1,@a_Twilight ok so what's true?? summit apparently said fans didn't cause it!! hehe not that i believe that tho!! they are fuckin crazy!! 
1,"so annoyed one of my keys on here aint working,maths gcse tomorrow apparently,oh and im burnt real bad and all my freckles are out "
1,@purlewe that's what they told me when I sprained mine.  http://myloc.me/2iaz
1,Someone drag me out of my office please. i want to go home 
1,"Still can't sleep. Oh gosh,someone help me.. "
1,ughhhh its raining hard 
1,"just bought myself an amazing light filter and tripod for my camera == and a Romanian language book! Buna, sunt bolnav! "
1,Owww there's a hole in my toe 
1,goodbye dinner. i have a ticket to another city tomorrow  FIVE WEEKS!
1,My Tummy is not afreeing with this Hot sausage  TMI
1,ugh my tan line looks horrible in this dress  heading to @yosoykaitlin 's house to meet up with the others. should be fun tonight 
1,Max's graduation from St. Paul's!  I think I better put Kleenex in my purse and wear waterproof mascara. 
1,"Today, Madeleine McCann has been gone for 2 years  http://findmadeleine.com/"
1,@kellbell68 oh bite me. I wish I could leave early 
1,@prissyharajuku yes hun im in 4 the day .. im takn summa classes online &amp; i have 2 test due 2day ..ugh  shoutout 2 all my college barbies!
1,"@mileycyrus im here, your there... "
1,It's a sad day for Gaia. They sold out. 
1,Why can't I get MySQL thingymabob working  so frustrating
1,"The heat is over... its now raining on summer days... too bad, I can't attend to my spa treatment... "
1,Feel very ill! Had to go out of church twice to throw up  bad pint
1,"Awww man, Ed McMahon died.  RIP... how sad."
1,Unsportsmanlike consduct was shown by Lebron James. 
1,Leaving work after 12.25 hours of working  and i get to go home and finish doing more work... then wake up in the morning to go to work.
1,"@vickitHU becuz jose is nasty and @chicitydane if you payin for it might as well get what you really want, dont settle "
1,"..Also, missing little boy already. "
1,Jim Balsillie gets screwed again by the NHL. Betteman will never let him have a team at this rate 
1,Oh man!!! Had a go at touch foot with da boys this morning to find out my foot is still messed up!!! I freaking hate injuries!!!!   Hehe
1,is so bored at work 
1,"@staceyelliott3 heyy stac, i rang you like 3 times on sat night but i didnt realise that it was the orange women so it took money off me "
1,"@fruitdance &lt;3 &lt;3 &lt;3 i'm trying to find skills like this online, but i can't find it anywhere.  i just want to watch some gabe!"
1,"@Alshehab I think that might be true, since I have been having this for quite a few days "
1,@MichiFM I was out cold when you called me this morninnnng  I hope the beach was amazing though!
1,"Lazy Tuesday. Got up, worked for an hour, came home, played Zombies, ate lunch, more Zombies, went back to bed for 5 hours. Still sleepy. "
1,Nooooo it's too early to be up  I blame this on roscos little showdown with his water dish he just had.
1,@iAlejandro - why did you close your youtube account? 
1,business study time!  So worried. :S
1,Facebook is old.  Twitter is where the cool kids are. #XboxE3
1,Shower...it might hurt with this sunburn... 
1,"Really rough morning for me &amp; Hubby, he's having issues with the med's he's taking...I just feel like crap. "
1,@BeejiveIM It's not showing up for me 
1,I took my antibiotics and I still feel like crap 
1,Kings is so good...please nbc don't cancel this! 
1,Heroes S3 ended up rocking. I hope ZQ returns though 
1,oooh .. oddie the little and charming puppy of my photo died 
1,"aw, my favorite coupled dissolved their ten year marriage today. "
1,Blew a fuse in the VW so no more gps and no more cd player.    Now it's just like a real '76 Westfalia.  #fb
1,Guess who's been exposed to swine flu? 
1,"@shotliverfreak I blame myself for it, really  I will see if I can get a new stave from someone else."
1,Getting ready for a friends of mine's birthday! i haven't seen any of my friends in a LONG time!  tonight should be awesome! 
1,Just said my goodbyes to the Starbucks crew.  
1,I woke up and had the scariest dream ever  I don't wanna be at home..
1,My internet connection is moody now. I cant online.  - http://tweet.sg
1,we actually got the Red Sox game on here today and they lost... 
1,@MikeJayy which part? I miss the south 
1,nostalgic mode....saw pics of old classmated on the net today...how i wish id get to know where and how theyre doing today 
1,gah.... I hate it when a sneeze sneaks up on you and you sneeze into your hands. 
1,why can't be july 15th already?? 
1,spent the day with BIDDLE again... quite fun! quite fun indeed. missed jack though 
1,The Apprentice final was brilliant too. Right person won (thought it best not to spoil) but sad Margaret won't be doing another series 
1,"Family went home  sad, I miss them already"
1,"Damnit internet's gone to sleep, just as I wanted to scour ebay "
1,Parents just left 
1,@LuvinMeSomeD Totally sad!  Eeee. Let's not think about that! Don't wanna get all sad then I already am. =|
1,Up and tired couldnt sleep at all last night  my stomach hurts ugh 
1,power is back.  back to work 
1,Mann the lake is glass! Too bad my jetski is down 
1,"@alannnakalb Haha, I know. You know I'm trying my best! "
1,"I - we  - are both perfectly fine, thanks for the concern. I'm more upset that I've lost all the photos I took at Bollox last night! "
1,"well , hello from Topeka , KS ... nothing to report wuz a beautiful day here .... but now we got rain and thunder storms.....   "
1,"Wow i have no life, wake up to 0 messages "
1,the killers are touring australia! but it is only for over 18's POO 
1,Its been one year since the All Time Low concert. I miss it 
1,Newspapers may be extinct but magazines will stick around.I know I'm not the only person who loves to flip thru em. I miss domino tho 
1,@madout1 lol lol mustve been crazy... Too bad I dnt remember 
1,@manaknights Yeah 
1,Back from Vegas and it sure wasn't what as exciting as I wanted to be... Was a major disappointment 
1,pooey...i left my good sweat-shirt at the stadium 
1,I'm in love with Philadelphia.. I don't wanna go home on Thursday.. 
1,"Sigh, no celebs on twitter now "
1,has broke dwn! 
1,"super sad day. going to church then out to eat. Then, @maggiefortson and @jackpooter are leaving  !!!!!!!!!!!!!!!!"
1,@LexaShmexa I go to bed early and miss out on all the fun. And I'll miss any during the next 3 days too (have to go into the office) 
1,@kenneyjacob . which religion. Names are always dependent on religion. 
1,Bagal ng Limewire downloads. 
1,Ah my first ever gsce today 
1,i jus wanna go back to workin at the club  sigh memories
